"annot","pVal","phase","peak.shape","period"
"Mat2b",0.00256500424972194,10,8,24
"Srprb",1.46406520443785e-06,2,6,24
"Ciapin1",0.0175343872905796,14,4,24
"Tirap",4.42449852649899e-06,24,10,24
"Atp13a2",0.000714338469340451,22,16,24
"Creld2",4.92776323880848e-06,2,8,12
"Cryzl2",0.0165566462657008,12,14,24
"Rarres1",0.000104558396369351,8,10,16
"Dab2ip",1.08207044427706e-05,10,8,24
"Zfand2b",0.197179575842468,8,14,24
"Sh2b3",8.12325278797197e-09,14,4,24
"Mtfp1",0.00530602845042429,14,18,24
"Nbeal2",3.17464279060614e-16,24,10,24
"Resf1",0.0975615911858529,8,10,12
"Bcor",0.00408526750470665,2,4,24
"Tmem11",6.51016851647361e-07,10,8,24
"Gtf2f1",7.56815797507863e-05,16,18,24
"Ifi35",0.0465888643156927,10,12,24
"Nadsyn1",1.42356452478843e-08,12,6,24
"Gm49668",5.47498763241559e-06,6,10,24
"Adh7",6.96790830623676e-07,16,14,24
"Rapgef2",0.0179775314410365,2,8,16
"Cops8",0.071418700662911,12,4,14
"Slc37a3",4.86822796491221e-05,24,16,24
"Morc2a",0.000998041046897594,2,2,12
"Zfp710",0.00678827791027561,24,12,24
"Klf10",1.72258204198399e-15,10,14,24
"Timp2",0.164038221782137,18,8,22
"Atf6b",1.18968644158101e-15,24,10,24
"Secisbp2",0.00836203107844007,20,14,24
"Fbh1",0.015353722773465,24,20,24
"Klc1",0.000709933692501585,2,16,24
"Abtb1",3.60191361483278e-12,8,10,24
"Gnpda1",0.00169542046494321,6,20,24
"Rest",9.40681316048199e-05,6,12,24
"Laptm4b",0.000985036003320385,6,12,24
"Ptk2",0.0476781776433264,8,10,16
"Aars2",0.00238429684475346,8,10,22
"Map3k1",8.52132446299814e-11,2,8,24
"Ttc3",0.000958723351660688,2,4,12
"Fndc3b",2.43163258630205e-05,2,8,24
"Tff3",1.71464343043325e-05,2,4,24
"Mpv17l",0.000114549836125502,18,10,24
"Cstf2t",9.34326566479211e-07,6,12,24
"Slc66a1",4.17210227437376e-08,24,18,24
"Map2k5",6.4543406443417e-08,6,10,24
"Fcgr2b",0.0326245890206315,10,8,12
"Scyl3",0.000584672416942637,8,8,24
"Fam98a",0.0265369708118232,24,4,24
"Atxn7l1",0.470525070227889,6,4,24
"Nat8",5.95046714377762e-06,20,10,24
"Zfp950",2.10816238183419e-06,4,6,24
"Wars",0.0299754391749192,2,4,24
"Ralgapb",0.0619749495481545,24,4,24
"Lamc1",0.521473381455141,12,6,12
"Tshz1",0.0165720724616744,12,16,24
"Smad3",7.94937067408118e-07,2,12,24
"Casp9",4.51156498045255e-05,8,6,24
"Rnf31",0.0111869330048248,24,18,24
"Tbc1d16",3.45851079704477e-14,10,14,24
"Samd9l",0.0543018714370301,6,14,24
"Gfus",0.0454529535201389,12,18,24
"Pigk",2.51930066203011e-05,4,14,24
"Katnip",1.38090098392403e-06,6,8,24
"Retreg3",0.00129259872603846,8,8,16
"Ppp2r3a",0.585871485763103,6,8,12
"Oaz2",0.000140571252089842,10,14,24
"Slc35c2",1.89059245776852e-07,10,8,24
"Acap2",0.0159285789494592,24,20,24
"Avpi1",0.00522577308205827,2,4,24
"Hnrnpll",0.186922851329505,2,4,12
"Slc35f5",1.38554263002163e-06,4,16,24
"Rab12",0.395479941162651,10,8,24
"Tlk2",0.027230197301382,22,14,24
"Rrn3",0.000238599913483132,14,14,24
"Myh10",0.00970044189686906,24,14,24
"Hnf1aos1",0.00729117266190721,6,6,24
"Mnt",0.000284692815263879,20,4,24
"Pstpip2",0.06239177422612,4,12,24
"Prob1",0.00432097143128161,10,2,12
"Plscr2",0.00011939785588564,10,16,24
"Cyb561a3",1.16096804701848e-05,24,16,24
"Txnrd2",4.48522426731873e-06,8,10,24
"Snx33",0.00956609937663601,6,4,24
"Tle3",0.0038979027480098,12,6,24
"Parp16",4.04239721085209e-11,18,14,24
"Ubald1",0.169071242162428,8,16,24
"Zbtb8os",0.1191756296819,12,6,16
"Ing4",1.4856756123402e-06,20,20,24
"Mvk",1.23046671925887e-06,24,20,24
"Itga1",0.0488327166045651,24,12,24
"Supt20",0.000404681204670669,24,20,24
"Cog6",3.07687430931067e-06,10,10,24
"Dnajc25",6.56054623804776e-07,14,12,24
"Ift46",7.71055023143186e-09,8,10,24
"Agfg1",0.0477857368483777,2,16,24
"Tead1",0.00031727096986554,18,8,22
"Taf1",0.00022528304991525,24,14,24
"Usp39",3.23166638587539e-07,24,6,24
"Map3k20",1.61163219500908e-12,10,8,24
"Cramp1l",0.0460747675368898,14,4,24
"Gpatch2",9.14307073542174e-05,22,12,24
"Rlf",1.28892323122069e-07,12,18,24
"Crebrf",0.000715580427594469,8,4,12
"Heatr1",5.71140037969133e-05,2,4,24
"Dgkq",0.00731301635457884,8,12,22
"Pfdn2",9.27893391736033e-09,10,16,24
"Rbm4b",0.000241791919130289,8,8,24
"Coq10b",2.98451363823441e-18,12,18,24
"Ap3s1",0.000128783248348129,4,6,24
"Ahcyl2",3.55686855402853e-08,24,8,24
"Scamp5",6.27473667033161e-08,24,18,24
"Gpaa1",8.9334079607347e-05,24,10,24
"Gss",0.000764874243611066,4,14,24
"Pank2",0.593735004261182,14,14,24
"Srp14",0.0252915444765759,10,20,24
"Pomt1",2.8846346070579e-08,4,8,24
"Gpr137",0.000414739676630975,2,12,24
"Coro7",8.82740428634522e-09,10,8,24
"Crybg3",5.233396129393e-10,16,16,24
"Oxnad1",0.000704735096828733,20,18,22
"Tep1",8.37150245751077e-07,24,18,24
"Strn",0.976146961128141,24,4,24
"Tpk1",0.287234082336258,6,12,24
"Nt5dc3",0.00630588158359101,12,20,24
"Fbxl5",2.43803289873882e-05,6,14,24
"Nom1",0.949252976446409,12,12,22
"Chmp2b",4.38944225597063e-11,2,12,24
"Ccdc157",0.0242717765752112,8,10,16
"Dcun1d5",0.102552064314786,2,16,24
"Bco2",7.45576284023565e-10,6,6,24
"Rpe",0.0529142405801366,24,10,24
"Rnf216",0.278156324868451,8,10,24
"Abhd18",0.304724467284293,14,4,16
"Lsm14b",0.00117075419697205,8,10,24
"Rufy1",2.48619013221203e-06,4,10,24
"Myo1d",0.199857965503701,18,10,22
"Nars2",6.00811690376676e-05,8,6,12
"Vrk3",6.62616321266295e-07,8,10,22
"Zfp574",8.77146666945716e-05,20,14,24
"Nhp2",0.23782193965984,20,8,24
"Dhdds",0.000831755633700281,10,10,22
"Max",9.89843536789589e-07,16,6,24
"Pfkfb3",1.67053121001903e-07,12,18,24
"Smim13",0.000141222513160141,8,10,24
"Dhx8",0.000118976882932285,24,10,24
"Rnf217",0.000161237817574573,22,12,24
